timestamp_ms,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
1920,-351.07,-229.00,709.96,-13.48,-2.38,-27.95,29.95
1942,-305.66,-134.28,959.96,-16.34,-49.59,-74.50,30.09
1964,-269.53,-216.31,957.03,-7.79,-38.44,-65.28,29.99
1986,-212.40,-230.47,978.52,-11.42,-39.98,-58.37,29.95
2008,-179.69,-229.49,967.29,-9.08,-36.02,-55.20,29.99
2030,-197.27,-271.97,912.60,-5.82,-31.53,-43.24,29.95
2052,-185.55,-244.63,929.20,1.41,-33.40,-37.06,30.19
2074,-136.23,-254.39,901.86,9.86,-28.30,-32.22,30.28
2096,-150.88,-256.35,958.50,15.47,-26.83,-19.07,30.43
2118,-134.28,-255.37,982.91,15.61,-25.36,-24.23,30.62
2140,-150.39,-264.16,970.21,18.22,-25.34,-36.32,30.52
2162,-75.20,-237.30,982.42,20.69,-21.42,-36.79,30.33
2184,-77.15,-259.28,956.05,22.82,-14.04,-35.65,30.67
2206,-74.22,-247.56,983.89,34.04,-6.91,-46.40,30.86
2228,-83.01,-252.44,1021.00,35.59,-0.23,-42.40,30.86
2250,-93.26,-237.30,1048.34,34.49,6.05,-39.43,30.52
2272,-113.77,-292.97,1033.69,31.34,14.18,-46.65,30.43
2294,-130.37,-314.45,981.93,32.77,23.84,-53.99,30.67
2316,-142.09,-300.78,1038.57,44.08,36.34,-75.48,30.62
2338,-219.24,-238.28,1170.90,55.06,31.02,-78.77,30.67
2360,-187.01,-155.27,1272.95,56.53,9.79,-82.84,30.52
2382,-189.45,-156.74,1185.06,48.66,-2.84,-74.84,30.95
2404,-173.34,-151.37,1075.20,51.50,4.01,-76.95,30.81
2426,-143.55,-92.29,1054.20,62.70,15.41,-80.30,30.86
2448,-174.32,-15.14,1123.54,53.76,14.05,-73.03,30.86
2470,-206.54,3.91,1136.23,50.15,12.69,-64.25,31.00
2492,-177.73,23.93,1126.95,42.23,2.29,-57.95,31.05
2514,-171.87,49.80,1092.29,29.90,10.92,-56.20,31.05
2536,-163.57,76.66,1035.64,30.54,6.59,-53.40,31.05
3148,-1597.11,992.13,191.35,125.07,0.00,0.12,-28.29
3172,-1597.11,986.33,1144.29,-125.07,0.00,0.12,-28.29
3211,-12776.86,7890.63,9154.30,-999.02,0.00,0.98,-28.29
3238,-12776.86,7890.63,9154.30,-999.02,0.00,0.98,-28.29
5480,-12776.86,7890.63,9154.30,-999.02,0.00,0.98,-28.29
5520,-12776.86,7890.63,9154.30,-999.02,0.00,0.00,20.94
5560,-12776.86,7986.82,-2099.61,999.02,0.00,0.98,-28.29
