状态,物品,规格,数量,金额,备注
已签收,ESP32-S3开发板,N16R8 向下焊 含Type-C数据线,1套,34.40,
已签收,ICM-20948,MCU-20948 九轴模块,1个,48.94,
已签收,面包板,400孔 MB102,1个,2.68,
已签收,杜邦线,2.54mm 母对母 40P 20cm,1排,4.20,
待收货,TP4057充电板,TP4057-500mA Type-C,2个,5.94,为避免选错规格购买
待收货,TPS61088模块,固定5V版本,1个,11.32,焊盘版优先
待收货,高电流开关,SS-12E07G4 1P2T 3A,5只,4.89,主电源路径
待收货,备用低电流开关,SS12D07VG4 1P2T 柄高4mm,10只,2.40,备用
待收货,电池,602535 3.7V 500mAh 带保护板,2个,18.76,先用后付待扣款
待收货,PH2.0连接器,2P 公母一套 20cm,2套,3.20,
待收货,PH2.0连接器,4P 公母一套 20cm,5套,10.36,
待收货,柔性线,26AWG 0.13平方 黑色2米,1根,3.50,
待收货,柔性线,26AWG 0.13平方 红色2米,1根,3.50,
待收货,热缩管,黑色200条 8种型号,1盒,7.80,
待收货,EVA泡棉,2mm厚 2.5cm宽 5米,1卷,4.80,
待收货,传感器盒,5×3.5×1.8cm,2个,2.28,
待收货,主控收纳盒,10×7×2.3cm,2个,3.18,
待收货,元件盒,3#红色,1个,2.60,
待收货,前臂绑带,5cm×50cm,1条,5.00,
待收货,腕部绑带,3.8cm×50cm,1条,4.80,
待收货,运动护腕,黑色1只+蓝色1只,2只,6.50,先用后付待扣款
待收货,电池软袋,布艺10×8cm,1个,2.10,
