timestamp_ms,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
7270,-669.43,113.77,859.86,-4.90,52.96,7.95,31.86
7293,-608.89,130.86,754.88,-16.01,37.49,-16.89,31.72
7315,-606.45,139.65,740.72,-21.78,37.09,-36.50,31.77
7337,-675.78,152.83,776.86,-6.79,43.37,-27.73,31.86
7359,-668.95,104.98,934.57,6.86,51.64,-29.53,32.01
7381,-658.20,188.96,701.66,14.00,56.57,-18.31,31.77
7403,-763.67,104.49,758.79,27.37,60.60,-7.98,31.77
7425,-708.01,131.35,607.42,40.78,57.17,-19.94,31.91
7447,-814.45,137.70,676.76,54.49,51.10,-29.18,31.77
7469,-793.46,82.03,650.88,41.45,37.22,-36.74,31.67
7491,-763.18,59.57,530.27,40.21,35.63,-48.58,31.72
7513,-1496.09,-255.86,831.54,30.79,-26.22,-122.71,31.72
7535,-720.70,130.86,535.64,11.69,-7.77,-74.83,32.10
7557,-756.35,54.20,613.28,7.56,1.06,-28.67,32.01
7579,-766.11,24.41,535.16,7.47,-1.65,0.59,32.01
7601,-788.57,60.06,582.03,11.66,-3.14,16.07,31.77
7623,-772.46,39.55,635.25,17.68,0.73,5.98,32.01
7645,-760.74,66.89,750.00,16.65,1.66,-11.34,31.91
7667,-744.63,32.71,770.51,7.54,1.23,-9.19,31.91
7689,-711.43,51.27,737.30,-24.56,-2.93,-3.86,31.86
7711,-713.38,44.92,730.96,-43.91,-14.81,13.13,31.72
7733,-721.68,3.91,761.23,-38.17,-7.45,11.86,32.10
7755,-763.18,24.90,757.32,-14.13,9.11,-19.69,31.72
7777,-653.81,137.21,600.10,32.05,17.96,-35.35,31.72
7799,-668.46,-111.82,605.96,50.35,31.76,-15.65,31.91
7821,-655.27,34.18,680.18,35.31,36.96,1.23,31.58
7843,-704.59,-44.43,626.46,47.18,51.19,-7.63,31.91
7865,-813.48,17.58,567.38,28.73,55.90,32.79,31.91
7887,-759.28,34.18,543.95,30.85,56.27,29.00,32.01
7909,-814.45,-13.67,433.11,37.32,55.34,16.89,31.67
7931,-783.69,20.51,536.13,64.62,64.58,8.33,32.01
7953,-1023.44,38.09,411.62,82.19,57.76,-54.45,32.06
7975,-2000.00,564.94,23.44,-70.22,68.99,-250.14,32.01
7997,-1086.43,-1394.53,1605.47,52.38,-62.54,-112.18,31.91
8019,-579.10,-458.50,306.64,145.56,23.58,-141.75,32.01
8041,-487.79,-637.21,692.38,138.60,49.33,23.11,32.06
8063,-841.31,-271.48,518.07,136.74,41.42,-71.83,31.91
8085,-979.98,-135.74,422.36,86.47,13.27,-21.53,32.20
8107,-973.63,-63.48,458.98,44.12,-32.69,21.19,31.77
8129,-867.19,-167.97,479.00,66.98,-5.89,15.27,31.91
8151,-687.50,158.69,596.68,73.60,5.65,6.17,31.91
8173,-737.79,-110.84,497.07,73.38,-23.53,-14.41,32.20
8195,-989.26,8.30,460.94,65.55,-12.18,-0.11,31.72
8217,-900.39,-39.06,470.21,62.63,-12.38,-24.27,32.10
8239,-736.82,-157.71,443.85,63.24,-12.89,9.97,31.91
8261,-833.50,-67.38,522.46,42.98,-5.24,-1.44,32.01
8283,-858.40,-55.18,455.08,49.66,-2.41,-8.33,32.20
8305,-750.00,-191.41,552.25,69.38,8.54,-44.82,32.10
